Ticket_id,Team_1,Team_2,Venue,Stage,Importance,Seat_Type,Days_until_match,Base_Price,Tickets_Sold,Year,Seat_Multiplier,Base_Price_Base,Importance_Factor,Days_Factor,Sales_Factor,Base_Price_Reconstructed,Importance_Num,Stage_Num,Venue_Num,Team1_Num,Team2_Num
13,England,Iran,Khalifa International,Group Stage,low,Gold,3,619,0.33,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,5,12,20
14,England,Iran,Khalifa International,Group Stage,low,Gold,5,619,0.47,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,5,12,20
15,England,Iran,Khalifa International,Group Stage,low,Gold,7,619,0.29,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,5,12,20
16,England,Iran,Khalifa International,Group Stage,low,Diamond,3,825,0.49,2022,3.0,275.0,0.0,0.2,0.1,,3,1,5,12,20
17,England,Iran,Khalifa International,Group Stage,low,Diamond,5,825,0.25,2022,3.0,275.0,0.0,0.1,0.1,,3,1,5,12,20
18,England,Iran,Khalifa International,Group Stage,low,Diamond,7,825,0.49,2022,3.0,275.0,0.0,0.0,0.1,,3,1,5,12,20
19,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.47,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,3,31,24
20,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.32,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,3,31,24
21,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.42,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,3,31,24
22,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.27,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,3,31,24
23,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.22,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,3,31,24
24,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.28,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,3,31,24
25,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.42,2022,3.0,275.0,0.0,0.2,0.1,,3,1,3,31,24
26,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.41,2022,3.0,275.0,0.0,0.1,0.1,,3,1,3,31,24
27,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.47,2022,3.0,275.0,0.0,0.0,0.1,,3,1,3,31,24
28,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.4,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,0,38,43
29,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.2,2022,1.0,259.0,0.0,0.1,0.0,284.90000000000003,3,1,0,38,43
30,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.24,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,0,38,43
31,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.27,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,0,38,43
32,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.46,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,0,38,43
33,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.47,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,0,38,43
34,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.34,2022,3.0,275.0,0.0,0.2,0.1,,3,1,0,38,43
35,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.38,2022,3.0,275.0,0.0,0.1,0.1,,3,1,0,38,43
36,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.22,2022,3.0,275.0,0.0,0.0,0.1,,3,1,0,38,43
37,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,3,259,0.21,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,6,0,32
38,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,5,259,0.42,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,6,0,32
39,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,7,259,0.45,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,6,0,32
40,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,3,619,0.25,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,6,0,32
41,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,5,619,0.42,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,6,0,32
42,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,7,619,0.3,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,6,0,32
43,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,3,825,0.38,2022,3.0,275.0,0.0,0.2,0.1,,3,1,6,0,32
44,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,5,825,0.21,2022,3.0,275.0,0.0,0.1,0.1,,3,1,6,0,32
45,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,7,825,0.29,2022,3.0,275.0,0.0,0.0,0.1,,3,1,6,0,32
46,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,3,259,0.44,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,4,9,40
47,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,5,259,0.22,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,4,9,40
48,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,7,259,0.3,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,4,9,40
49,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,3,619,0.34,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,4,9,40
50,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,5,619,0.38,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,4,9,40
51,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,7,619,0.27,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,4,9,40
52,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,3,825,0.38,2022,3.0,275.0,0.0,0.2,0.1,,3,1,4,9,40
53,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,5,825,0.24,2022,3.0,275.0,0.0,0.1,0.1,,3,1,4,9,40
54,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,7,825,0.4,2022,3.0,275.0,0.0,0.0,0.1,,3,1,4,9,40
55,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,3,259,0.2,2022,1.0,259.0,0.0,0.2,0.0,310.8,3,1,7,19,28
56,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,5,259,0.49,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,7,19,28
57,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,7,259,0.44,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,7,19,28
58,Mexico,Poland,Stadium 974,Group Stage,low,Gold,3,619,0.41,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,7,19,28
59,Mexico,Poland,Stadium 974,Group Stage,low,Gold,5,619,0.43,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,7,19,28
60,Mexico,Poland,Stadium 974,Group Stage,low,Gold,7,619,0.34,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,7,19,28
61,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,3,825,0.49,2022,3.0,275.0,0.0,0.2,0.1,,3,1,7,19,28
62,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,5,825,0.23,2022,3.0,275.0,0.0,0.1,0.1,,3,1,7,19,28
63,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,7,825,0.24,2022,3.0,275.0,0.0,0.0,0.1,,3,1,7,19,28
64,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.36,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,2,13,2
65,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.46,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,2,13,2
66,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.26,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,2,13,2
67,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.24,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,2,13,2
68,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.24,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,2,13,2
69,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.23,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,2,13,2
70,France,Australia,Al Janoub Stadium,Group Stage,low,Diamond,3,825,0.35,2022,3.0,275.0,0.0,0.2,0.1,,3,1,2,13,2
71,France,Australia,Al Janoub Stadium,Group Stage,low,Diamond,5,825,0.23,2022,3.0,275.0,0.0,0.1,0.1,,3,1,2,13,2
72,France,Australia,Al Janoub Stadium,Group Stage,low,Diamond,7,825,0.42,2022,3.0,275.0,0.0,0.0,0.1,,3,1,2,13,2
73,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.39,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,1,20,10
74,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.46,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,1,20,10
75,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.33,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,1,20,10
76,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.24,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,1,20,10
77,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.34,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,1,20,10
78,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.23,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,1,20,10
79,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.34,2022,3.0,275.0,0.0,0.2,0.1,,3,1,1,20,10
80,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.42,2022,3.0,275.0,0.0,0.1,0.1,,3,1,1,20,10
81,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.35,2022,3.0,275.0,0.0,0.0,0.1,,3,1,1,20,10
82,Germany,Japan,Khalifa International,Group Stage,low,Bronze,3,259,0.44,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,5,14,21
83,Germany,Japan,Khalifa International,Group Stage,low,Bronze,5,259,0.43,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,5,14,21
84,Germany,Japan,Khalifa International,Group Stage,low,Bronze,7,259,0.3,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,5,14,21
85,Germany,Japan,Khalifa International,Group Stage,low,Gold,3,619,0.28,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,5,14,21
86,Germany,Japan,Khalifa International,Group Stage,low,Gold,5,619,0.41,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,5,14,21
87,Germany,Japan,Khalifa International,Group Stage,low,Gold,7,619,0.22,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,5,14,21
88,Germany,Japan,Khalifa International,Group Stage,low,Diamond,3,825,0.39,2022,3.0,275.0,0.0,0.2,0.1,,3,1,5,14,21
89,Germany,Japan,Khalifa International,Group Stage,low,Diamond,5,825,0.32,2022,3.0,275.0,0.0,0.1,0.1,,3,1,5,14,21
90,Germany,Japan,Khalifa International,Group Stage,low,Diamond,7,825,0.48,2022,3.0,275.0,0.0,0.0,0.1,,3,1,5,14,21
91,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.45,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,3,34,9
92,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.25,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,3,34,9
93,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.48,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,3,34,9
94,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.23,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,3,34,9
95,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.5,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,3,34,9
96,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.5,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,3,34,9
97,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.43,2022,3.0,275.0,0.0,0.2,0.1,,3,1,3,34,9
98,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.33,2022,3.0,275.0,0.0,0.1,0.1,,3,1,3,34,9
99,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.43,2022,3.0,275.0,0.0,0.0,0.1,,3,1,3,34,9
100,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.3,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,0,2,6
101,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.31,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,0,2,6
102,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.41,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,0,2,6
103,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.5,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,0,2,6
104,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.41,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,0,2,6
105,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.41,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,0,2,6
106,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.34,2022,3.0,275.0,0.0,0.2,0.1,,3,1,0,2,6
107,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.49,2022,3.0,275.0,0.0,0.1,0.1,,3,1,0,2,6
108,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.31,2022,3.0,275.0,0.0,0.0,0.1,,3,1,0,2,6
109,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.32,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,2,36,5
110,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.47,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,2,36,5
111,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.43,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,2,36,5
112,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.34,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,2,36,5
113,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.22,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,2,36,5
114,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.34,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,2,36,5
115,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Diamond,3,825,0.21,2022,3.0,275.0,0.0,0.2,0.1,,3,1,2,36,5
116,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Diamond,5,825,0.36,2022,3.0,275.0,0.0,0.1,0.1,,3,1,2,36,5
117,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Diamond,7,825,0.21,2022,3.0,275.0,0.0,0.0,0.1,,3,1,2,36,5
118,Uruguay,South Korea,Education City Stadium,Group Stage,low,Bronze,3,259,0.26,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,4,39,36
119,Uruguay,South Korea,Education City Stadium,Group Stage,low,Bronze,5,259,0.36,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,4,39,36
120,Uruguay,South Korea,Education City Stadium,Group Stage,low,Bronze,7,259,0.41,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,4,39,36
121,Uruguay,South Korea,Education City Stadium,Group Stage,low,Gold,3,619,0.49,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,4,39,36
122,Uruguay,South Korea,Education City Stadium,Group Stage,low,Gold,5,619,0.22,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,4,39,36
123,Uruguay,South Korea,Education City Stadium,Group Stage,low,Gold,7,619,0.46,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,4,39,36
124,Uruguay,South Korea,Education City Stadium,Group Stage,low,Diamond,3,825,0.25,2022,3.0,275.0,0.0,0.2,0.1,,3,1,4,39,36
125,Uruguay,South Korea,Education City Stadium,Group Stage,low,Diamond,5,825,0.27,2022,3.0,275.0,0.0,0.1,0.1,,3,1,4,39,36
126,Uruguay,South Korea,Education City Stadium,Group Stage,low,Diamond,7,825,0.41,2022,3.0,275.0,0.0,0.0,0.1,,3,1,4,39,36
127,Portugal,Ghana,Stadium 974,Group Stage,low,Bronze,3,259,0.45,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,7,27,17
128,Portugal,Ghana,Stadium 974,Group Stage,low,Bronze,5,259,0.21,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,7,27,17
129,Portugal,Ghana,Stadium 974,Group Stage,low,Bronze,7,259,0.27,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,7,27,17
130,Portugal,Ghana,Stadium 974,Group Stage,low,Gold,3,619,0.46,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,7,27,17
131,Portugal,Ghana,Stadium 974,Group Stage,low,Gold,5,619,0.48,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,7,27,17
132,Portugal,Ghana,Stadium 974,Group Stage,low,Gold,7,619,0.31,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,7,27,17
133,Portugal,Ghana,Stadium 974,Group Stage,low,Diamond,3,825,0.26,2022,3.0,275.0,0.0,0.2,0.1,,3,1,7,27,17
134,Portugal,Ghana,Stadium 974,Group Stage,low,Diamond,5,825,0.49,2022,3.0,275.0,0.0,0.1,0.1,,3,1,7,27,17
135,Portugal,Ghana,Stadium 974,Group Stage,low,Diamond,7,825,0.46,2022,3.0,275.0,0.0,0.0,0.1,,3,1,7,27,17
136,Brazil,Serbia,Lusail Stadium,Group Stage,low,Bronze,3,259,0.31,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,6,3,34
137,Brazil,Serbia,Lusail Stadium,Group Stage,low,Bronze,5,259,0.3,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,6,3,34
138,Brazil,Serbia,Lusail Stadium,Group Stage,low,Bronze,7,259,0.46,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,6,3,34
139,Brazil,Serbia,Lusail Stadium,Group Stage,low,Gold,3,619,0.28,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,6,3,34
140,Brazil,Serbia,Lusail Stadium,Group Stage,low,Gold,5,619,0.49,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,6,3,34
141,Brazil,Serbia,Lusail Stadium,Group Stage,low,Gold,7,619,0.36,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,6,3,34
142,Brazil,Serbia,Lusail Stadium,Group Stage,low,Diamond,3,825,0.34,2022,3.0,275.0,0.0,0.2,0.1,,3,1,6,3,34
143,Brazil,Serbia,Lusail Stadium,Group Stage,low,Diamond,5,825,0.3,2022,3.0,275.0,0.0,0.1,0.1,,3,1,6,3,34
144,Brazil,Serbia,Lusail Stadium,Group Stage,low,Diamond,7,825,0.47,2022,3.0,275.0,0.0,0.0,0.1,,3,1,6,3,34
145,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.36,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,0,40,20
146,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.48,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,0,40,20
147,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.33,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,0,40,20
148,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.32,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,0,40,20
149,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.48,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,0,40,20
150,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.45,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,0,40,20
151,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.47,2022,3.0,275.0,0.0,0.2,0.1,,3,1,0,40,20
152,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.29,2022,3.0,275.0,0.0,0.1,0.1,,3,1,0,40,20
153,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.24,2022,3.0,275.0,0.0,0.0,0.1,,3,1,0,40,20
154,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.4,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,3,28,33
155,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.29,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,3,28,33
156,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.49,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,3,28,33
157,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.44,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,3,28,33
158,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.33,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,3,28,33
159,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.34,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,3,28,33
160,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.25,2022,3.0,275.0,0.0,0.2,0.1,,3,1,3,28,33
161,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.35,2022,3.0,275.0,0.0,0.1,0.1,,3,1,3,28,33
162,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.3,2022,3.0,275.0,0.0,0.0,0.1,,3,1,3,28,33
163,Netherlands,Ecuador,Khalifa International,Group Stage,low,Bronze,3,259,0.27,2022,1.0,259.0,0.0,0.2,0.1,336.7,3,1,5,21,12
164,Netherlands,Ecuador,Khalifa International,Group Stage,low,Bronze,5,259,0.39,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,3,1,5,21,12
165,Netherlands,Ecuador,Khalifa International,Group Stage,low,Bronze,7,259,0.34,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,3,1,5,21,12
166,Netherlands,Ecuador,Khalifa International,Group Stage,low,Gold,3,619,0.22,2022,2.0,309.5,0.0,0.2,0.1,402.35,3,1,5,21,12
167,Netherlands,Ecuador,Khalifa International,Group Stage,low,Gold,5,619,0.22,2022,2.0,309.5,0.0,0.1,0.1,371.4,3,1,5,21,12
168,Netherlands,Ecuador,Khalifa International,Group Stage,low,Gold,7,619,0.37,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,3,1,5,21,12
169,Netherlands,Ecuador,Khalifa International,Group Stage,low,Diamond,3,825,0.28,2022,3.0,275.0,0.0,0.2,0.1,,3,1,5,21,12
170,Netherlands,Ecuador,Khalifa International,Group Stage,low,Diamond,5,825,0.31,2022,3.0,275.0,0.0,0.1,0.1,,3,1,5,21,12
171,Netherlands,Ecuador,Khalifa International,Group Stage,low,Diamond,7,825,0.48,2022,3.0,275.0,0.0,0.0,0.1,,3,1,5,21,12
