Ticket_id,Team_1,Team_2,Venue,Stage,Importance,Seat_Type,Days_until_match,Base_Price,Tickets_Sold,Year
44,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,5,825,0.21,2022
45,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,7,825,0.29,2022
46,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,3,259,0.44,2022
47,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,5,259,0.22,2022
48,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,7,259,0.3,2022
49,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,3,619,0.34,2022
50,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,5,619,0.38,2022
51,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,7,619,0.27,2022
52,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,3,825,0.38,2022
53,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,5,825,0.24,2022
54,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,7,825,0.4,2022
55,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,3,259,0.2,2022
56,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,5,259,0.49,2022
57,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,7,259,0.44,2022
58,Mexico,Poland,Stadium 974,Group Stage,low,Gold,3,619,0.41,2022
59,Mexico,Poland,Stadium 974,Group Stage,low,Gold,5,619,0.43,2022
60,Mexico,Poland,Stadium 974,Group Stage,low,Gold,7,619,0.34,2022
61,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,3,825,0.49,2022
62,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,5,825,0.23,2022
63,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,7,825,0.24,2022
64,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.36,2022
65,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.46,2022
66,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.26,2022
67,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.24,2022
68,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.24,2022
69,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.23,2022
70,France,Australia,Al Janoub Stadium,Group Stage,low,Diamond,3,825,0.35,2022
71,France,Australia,Al Janoub Stadium,Group Stage,low,Diamond,5,825,0.23,2022
72,France,Australia,Al Janoub Stadium,Group Stage,low,Diamond,7,825,0.42,2022
73,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.39,2022
74,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.46,2022
75,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.33,2022
76,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.24,2022
77,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.34,2022
78,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.23,2022
79,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.34,2022
80,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.42,2022
81,Morocco,Croatia,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.35,2022
82,Germany,Japan,Khalifa International,Group Stage,low,Bronze,3,259,0.44,2022
83,Germany,Japan,Khalifa International,Group Stage,low,Bronze,5,259,0.43,2022
84,Germany,Japan,Khalifa International,Group Stage,low,Bronze,7,259,0.3,2022
85,Germany,Japan,Khalifa International,Group Stage,low,Gold,3,619,0.28,2022
86,Germany,Japan,Khalifa International,Group Stage,low,Gold,5,619,0.41,2022
87,Germany,Japan,Khalifa International,Group Stage,low,Gold,7,619,0.22,2022
88,Germany,Japan,Khalifa International,Group Stage,low,Diamond,3,825,0.39,2022
89,Germany,Japan,Khalifa International,Group Stage,low,Diamond,5,825,0.32,2022
90,Germany,Japan,Khalifa International,Group Stage,low,Diamond,7,825,0.48,2022
91,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.45,2022
92,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.25,2022
93,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.48,2022
94,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.23,2022
95,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.5,2022
96,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.5,2022
97,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.43,2022
98,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.33,2022
99,Spain,Costa Rica,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.43,2022
100,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.3,2022
101,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.31,2022
102,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.41,2022
103,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.5,2022
104,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.41,2022
105,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.41,2022
106,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.34,2022
107,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.49,2022
108,Belgium,Canada,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.31,2022
109,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.32,2022
110,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.47,2022
111,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.43,2022
112,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.34,2022
113,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.22,2022
114,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.34,2022
115,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Diamond,3,825,0.21,2022
116,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Diamond,5,825,0.36,2022
117,Switzerland,Cameroon,Al Janoub Stadium,Group Stage,low,Diamond,7,825,0.21,2022
118,Uruguay,South Korea,Education City Stadium,Group Stage,low,Bronze,3,259,0.26,2022
119,Uruguay,South Korea,Education City Stadium,Group Stage,low,Bronze,5,259,0.36,2022
120,Uruguay,South Korea,Education City Stadium,Group Stage,low,Bronze,7,259,0.41,2022
121,Uruguay,South Korea,Education City Stadium,Group Stage,low,Gold,3,619,0.49,2022
122,Uruguay,South Korea,Education City Stadium,Group Stage,low,Gold,5,619,0.22,2022
123,Uruguay,South Korea,Education City Stadium,Group Stage,low,Gold,7,619,0.46,2022
124,Uruguay,South Korea,Education City Stadium,Group Stage,low,Diamond,3,825,0.25,2022
125,Uruguay,South Korea,Education City Stadium,Group Stage,low,Diamond,5,825,0.27,2022
126,Uruguay,South Korea,Education City Stadium,Group Stage,low,Diamond,7,825,0.41,2022
127,Portugal,Ghana,Stadium 974,Group Stage,low,Bronze,3,259,0.45,2022
128,Portugal,Ghana,Stadium 974,Group Stage,low,Bronze,5,259,0.21,2022
129,Portugal,Ghana,Stadium 974,Group Stage,low,Bronze,7,259,0.27,2022
130,Portugal,Ghana,Stadium 974,Group Stage,low,Gold,3,619,0.46,2022
131,Portugal,Ghana,Stadium 974,Group Stage,low,Gold,5,619,0.48,2022
132,Portugal,Ghana,Stadium 974,Group Stage,low,Gold,7,619,0.31,2022
133,Portugal,Ghana,Stadium 974,Group Stage,low,Diamond,3,825,0.26,2022
134,Portugal,Ghana,Stadium 974,Group Stage,low,Diamond,5,825,0.49,2022
135,Portugal,Ghana,Stadium 974,Group Stage,low,Diamond,7,825,0.46,2022
136,Brazil,Serbia,Lusail Stadium,Group Stage,low,Bronze,3,259,0.31,2022
137,Brazil,Serbia,Lusail Stadium,Group Stage,low,Bronze,5,259,0.3,2022
138,Brazil,Serbia,Lusail Stadium,Group Stage,low,Bronze,7,259,0.46,2022
139,Brazil,Serbia,Lusail Stadium,Group Stage,low,Gold,3,619,0.28,2022
140,Brazil,Serbia,Lusail Stadium,Group Stage,low,Gold,5,619,0.49,2022
141,Brazil,Serbia,Lusail Stadium,Group Stage,low,Gold,7,619,0.36,2022
142,Brazil,Serbia,Lusail Stadium,Group Stage,low,Diamond,3,825,0.34,2022
143,Brazil,Serbia,Lusail Stadium,Group Stage,low,Diamond,5,825,0.3,2022
144,Brazil,Serbia,Lusail Stadium,Group Stage,low,Diamond,7,825,0.47,2022
145,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.36,2022
146,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.48,2022
147,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.33,2022
148,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.32,2022
149,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.48,2022
150,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.45,2022
151,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.47,2022
152,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.29,2022
153,Wales,Iran,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.24,2022
154,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.4,2022
155,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.29,2022
156,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.49,2022
157,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.44,2022
158,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.33,2022
159,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.34,2022
160,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.25,2022
161,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.35,2022
162,Qatar,Senegal,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.3,2022
163,Netherlands,Ecuador,Khalifa International,Group Stage,low,Bronze,3,259,0.27,2022
164,Netherlands,Ecuador,Khalifa International,Group Stage,low,Bronze,5,259,0.39,2022
165,Netherlands,Ecuador,Khalifa International,Group Stage,low,Bronze,7,259,0.34,2022
166,Netherlands,Ecuador,Khalifa International,Group Stage,low,Gold,3,619,0.22,2022
167,Netherlands,Ecuador,Khalifa International,Group Stage,low,Gold,5,619,0.22,2022
168,Netherlands,Ecuador,Khalifa International,Group Stage,low,Gold,7,619,0.37,2022
169,Netherlands,Ecuador,Khalifa International,Group Stage,low,Diamond,3,825,0.28,2022
170,Netherlands,Ecuador,Khalifa International,Group Stage,low,Diamond,5,825,0.31,2022
171,Netherlands,Ecuador,Khalifa International,Group Stage,low,Diamond,7,825,0.48,2022
172,England,USA,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.26,2022
173,England,USA,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.25,2022
174,England,USA,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.35,2022
175,England,USA,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.38,2022
176,England,USA,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.21,2022
177,England,USA,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.39,2022
178,England,USA,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.49,2022
179,England,USA,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.37,2022
180,England,USA,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.48,2022
181,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.35,2022
182,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.45,2022
183,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.49,2022
184,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.24,2022
185,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.29,2022
186,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.27,2022
187,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Diamond,3,825,0.49,2022
188,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Diamond,5,825,0.42,2022
189,Tunisia,Australia,Al Janoub Stadium,Group Stage,low,Diamond,7,825,0.26,2022
190,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Bronze,3,259,0.3,2022
191,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Bronze,5,259,0.36,2022
192,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Bronze,7,259,0.35,2022
193,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Gold,3,619,0.47,2022
194,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Gold,5,619,0.3,2022
195,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Gold,7,619,0.47,2022
196,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Diamond,3,825,0.22,2022
197,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Diamond,5,825,0.34,2022
198,Poland,Saudi Arabia,Education City Stadium,Group Stage,low,Diamond,7,825,0.33,2022
199,France,Denmark,Stadium 974,Group Stage,low,Bronze,3,259,0.45,2022
200,France,Denmark,Stadium 974,Group Stage,low,Bronze,5,259,0.24,2022
201,France,Denmark,Stadium 974,Group Stage,low,Bronze,7,259,0.24,2022
202,France,Denmark,Stadium 974,Group Stage,low,Gold,3,619,0.48,2022
203,France,Denmark,Stadium 974,Group Stage,low,Gold,5,619,0.47,2022
204,France,Denmark,Stadium 974,Group Stage,low,Gold,7,619,0.28,2022
205,France,Denmark,Stadium 974,Group Stage,low,Diamond,3,825,0.28,2022
206,France,Denmark,Stadium 974,Group Stage,low,Diamond,5,825,0.47,2022
207,France,Denmark,Stadium 974,Group Stage,low,Diamond,7,825,0.23,2022
208,Argentina,Mexico,Lusail Stadium,Group Stage,low,Bronze,3,259,0.36,2022
209,Argentina,Mexico,Lusail Stadium,Group Stage,low,Bronze,5,259,0.31,2022
210,Argentina,Mexico,Lusail Stadium,Group Stage,low,Bronze,7,259,0.34,2022
211,Argentina,Mexico,Lusail Stadium,Group Stage,low,Gold,3,619,0.27,2022
212,Argentina,Mexico,Lusail Stadium,Group Stage,low,Gold,5,619,0.24,2022
213,Argentina,Mexico,Lusail Stadium,Group Stage,low,Gold,7,619,0.22,2022
214,Argentina,Mexico,Lusail Stadium,Group Stage,low,Diamond,3,825,0.3,2022
215,Argentina,Mexico,Lusail Stadium,Group Stage,low,Diamond,5,825,0.21,2022
216,Argentina,Mexico,Lusail Stadium,Group Stage,low,Diamond,7,825,0.41,2022
217,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.35,2022
218,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.27,2022
219,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.48,2022
220,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.38,2022
221,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.22,2022
222,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.26,2022
223,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.34,2022
224,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.36,2022
225,Japan,Costa Rica,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.26,2022
226,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.22,2022
227,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.46,2022
228,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.4,2022
229,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.29,2022
230,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.48,2022
231,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.44,2022
232,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.41,2022
233,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.36,2022
234,Belgium,Morocco,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.26,2022
235,Croatia,Canada,Khalifa International,Group Stage,low,Bronze,3,259,0.21,2022
236,Croatia,Canada,Khalifa International,Group Stage,low,Bronze,5,259,0.45,2022
237,Croatia,Canada,Khalifa International,Group Stage,low,Bronze,7,259,0.21,2022
238,Croatia,Canada,Khalifa International,Group Stage,low,Gold,3,619,0.36,2022
239,Croatia,Canada,Khalifa International,Group Stage,low,Gold,5,619,0.34,2022
240,Croatia,Canada,Khalifa International,Group Stage,low,Gold,7,619,0.3,2022
241,Croatia,Canada,Khalifa International,Group Stage,low,Diamond,3,825,0.5,2022
242,Croatia,Canada,Khalifa International,Group Stage,low,Diamond,5,825,0.32,2022
243,Croatia,Canada,Khalifa International,Group Stage,low,Diamond,7,825,0.26,2022
244,Spain,Germany,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.43,2022
245,Spain,Germany,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.36,2022
246,Spain,Germany,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.29,2022
247,Spain,Germany,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.31,2022
248,Spain,Germany,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.42,2022
249,Spain,Germany,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.45,2022
250,Spain,Germany,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.44,2022
251,Spain,Germany,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.42,2022
252,Spain,Germany,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.22,2022
253,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.24,2022
254,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.44,2022
255,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.22,2022
256,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.35,2022
257,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.33,2022
258,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.36,2022
259,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Diamond,3,825,0.31,2022
260,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Diamond,5,825,0.3,2022
261,Cameroon,Serbia,Al Janoub Stadium,Group Stage,low,Diamond,7,825,0.3,2022
262,South Korea,Ghana,Education City Stadium,Group Stage,low,Bronze,3,259,0.41,2022
263,South Korea,Ghana,Education City Stadium,Group Stage,low,Bronze,5,259,0.45,2022
264,South Korea,Ghana,Education City Stadium,Group Stage,low,Bronze,7,259,0.34,2022
265,South Korea,Ghana,Education City Stadium,Group Stage,low,Gold,3,619,0.33,2022
266,South Korea,Ghana,Education City Stadium,Group Stage,low,Gold,5,619,0.39,2022
267,South Korea,Ghana,Education City Stadium,Group Stage,low,Gold,7,619,0.21,2022
268,South Korea,Ghana,Education City Stadium,Group Stage,low,Diamond,3,825,0.21,2022
269,South Korea,Ghana,Education City Stadium,Group Stage,low,Diamond,5,825,0.47,2022
270,South Korea,Ghana,Education City Stadium,Group Stage,low,Diamond,7,825,0.44,2022
271,Brazil,Switzerland,Stadium 974,Group Stage,low,Bronze,3,259,0.24,2022
272,Brazil,Switzerland,Stadium 974,Group Stage,low,Bronze,5,259,0.24,2022
273,Brazil,Switzerland,Stadium 974,Group Stage,low,Bronze,7,259,0.39,2022
274,Brazil,Switzerland,Stadium 974,Group Stage,low,Gold,3,619,0.26,2022
275,Brazil,Switzerland,Stadium 974,Group Stage,low,Gold,5,619,0.49,2022
276,Brazil,Switzerland,Stadium 974,Group Stage,low,Gold,7,619,0.26,2022
277,Brazil,Switzerland,Stadium 974,Group Stage,low,Diamond,3,825,0.21,2022
278,Brazil,Switzerland,Stadium 974,Group Stage,low,Diamond,5,825,0.25,2022
279,Brazil,Switzerland,Stadium 974,Group Stage,low,Diamond,7,825,0.33,2022
280,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Bronze,3,259,0.37,2022
281,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Bronze,5,259,0.3,2022
282,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Bronze,7,259,0.4,2022
283,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Gold,3,619,0.38,2022
284,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Gold,5,619,0.33,2022
285,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Gold,7,619,0.27,2022
286,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Diamond,3,825,0.23,2022
287,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Diamond,5,825,0.38,2022
288,Portugal,Uruguay,Lusail Stadium,Group Stage,low,Diamond,7,825,0.46,2022
289,Ecuador,Senegal,Khalifa International,Group Stage,low,Bronze,3,259,0.47,2022
290,Ecuador,Senegal,Khalifa International,Group Stage,low,Bronze,5,259,0.43,2022
291,Ecuador,Senegal,Khalifa International,Group Stage,low,Bronze,7,259,0.42,2022
292,Ecuador,Senegal,Khalifa International,Group Stage,low,Gold,3,619,0.26,2022
293,Ecuador,Senegal,Khalifa International,Group Stage,low,Gold,5,619,0.22,2022
294,Ecuador,Senegal,Khalifa International,Group Stage,low,Gold,7,619,0.4,2022
295,Ecuador,Senegal,Khalifa International,Group Stage,low,Diamond,3,825,0.48,2022
296,Ecuador,Senegal,Khalifa International,Group Stage,low,Diamond,5,825,0.37,2022
297,Ecuador,Senegal,Khalifa International,Group Stage,low,Diamond,7,825,0.32,2022
298,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.43,2022
299,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.28,2022
300,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.3,2022
301,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.47,2022
302,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.44,2022
303,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.41,2022
304,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.24,2022
305,Netherlands,Qatar,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.46,2022
